objid,ra,dec,u,g,r,i,z,specobjid,redshift,ptype,sclass
1.24E+18,195.0338618,27.97694093,14.38514,12.34633,11.52409,11.22058,10.84526,2.52E+18,0.02150175,GALAXY,GALAXY
1.24E+18,194.8340569,27.88599211,17.58059,15.90685,15.17795,14.81943,14.5238,2.52E+18,0.02162358,GALAXY,GALAXY
1.24E+18,195.0176933,28.1551073,19.61666,17.77264,17.11055,16.75231,16.54024,2.52E+18,0.02191547,GALAXY,GALAXY
1.24E+18,195.0229251,27.80759468,17.45842,15.50841,14.73891,14.33246,14.03118,2.52E+18,0.021926,GALAXY,GALAXY
1.24E+18,194.7831015,27.85496245,17.15058,15.26591,14.44699,14.01003,13.69229,2.52E+18,0.02192698,GALAXY,GALAXY
1.24E+18,194.8637728,27.78505255,19.19113,17.50492,16.78879,16.43806,16.15643,2.52E+18,0.02195326,GALAXY,GALAXY
1.24E+18,195.1859757,28.10063624,17.84306,16.07844,15.32229,14.93665,14.64726,2.52E+18,0.0220089,GALAXY,GALAXY
1.24E+18,194.8607997,27.99846915,18.09124,16.33075,15.57279,15.18918,14.90816,2.52E+18,0.02224383,GALAXY,GALAXY
1.24E+18,194.9321817,27.99468339,17.56027,15.73545,14.94331,14.53115,14.23392,2.52E+18,0.02225102,GALAXY,GALAXY
1.24E+18,194.9350191,27.91245479,16.6908,14.96003,14.165,13.763,13.46627,2.52E+18,0.02235104,GALAXY,GALAXY
1.24E+18,194.7114892,27.99554658,19.52582,17.93322,17.20323,16.881,16.67477,2.52E+18,0.02235485,GALAXY,GALAXY
1.24E+18,195.0379776,28.17039245,17.44305,15.47676,14.7029,14.28326,14.03902,2.52E+18,0.02252319,GALAXY,GALAXY
1.24E+18,194.9595227,28.14437426,18.74528,17.18441,16.49611,16.15265,15.8931,2.52E+18,0.0226042,GALAXY,GALAXY
1.24E+18,194.8046122,27.9769751,18.54757,16.69668,15.82373,15.39511,15.09033,7.30E+18,0.0226222,GALAXY,GALAXY
1.24E+18,194.8725257,27.85015661,17.16924,15.28307,14.43639,14.00039,13.72991,2.52E+18,0.02264451,GALAXY,GALAXY
1.24E+18,194.8748418,27.95642781,16.65875,14.78519,13.96492,13.55658,13.28338,2.52E+18,0.02266739,GALAXY,GALAXY
1.24E+18,194.9076242,27.77682386,17.73292,16.13291,15.41132,15.06861,14.82254,2.52E+18,0.0226934,GALAXY,GALAXY
1.24E+18,194.936228,27.88976195,19.33815,17.76295,17.05694,16.71971,16.44641,2.52E+18,0.02270657,GALAXY,GALAXY
1.24E+18,194.9096494,27.98719374,17.72756,15.89464,15.09662,14.75999,14.52253,2.52E+18,0.02273988,GALAXY,GALAXY
1.24E+18,194.8062384,27.7745923,17.04775,15.20765,14.41999,14.01892,13.75777,2.52E+18,0.02276696,GALAXY,GALAXY
1.24E+18,195.0040405,27.94543132,19.01552,17.56509,16.87678,16.55435,16.334,2.52E+18,0.02281969,GALAXY,GALAXY
1.24E+18,194.7981019,28.00926701,19.17675,17.30536,16.57413,16.2045,15.9404,2.52E+18,0.022995,GALAXY,GALAXY
1.24E+18,194.9341773,27.95841345,18.30467,16.5683,15.8296,15.47243,15.20077,2.52E+18,0.02303317,GALAXY,GALAXY
1.24E+18,194.9262656,27.92473291,17.85477,16.06898,15.26948,14.90768,14.61891,2.52E+18,0.02303923,GALAXY,GALAXY
1.24E+18,194.7901662,27.86739268,18.76187,17.04307,16.28749,15.91242,15.63461,2.52E+18,0.02305771,GALAXY,GALAXY
1.24E+18,194.8810037,28.04659925,17.5459,15.23153,14.40057,14.13706,13.88645,2.52E+18,0.02307543,GALAXY,GALAXY
1.24E+18,194.8475501,27.91956553,20.32158,18.52287,17.65756,17.3171,17.03244,2.52E+18,0.02311007,GALAXY,GALAXY
1.24E+18,195.2026949,28.09073595,16.54008,14.667,13.8521,13.42195,13.09182,2.52E+18,0.02324185,GALAXY,GALAXY
1.24E+18,195.0731368,27.7844203,19.04902,17.5081,16.85357,16.51737,16.29462,2.52E+18,0.0232499,GALAXY,GALAXY
