objid,ra,dec,u,g,r,i,z,veldisp,PetroRad_r,specobjid,redshift,deVRad_r,fracDev_r,expRad_r,SNoise,ptype,sclass
1.24E+18,194.2116921,27.62783943,19.25435,17.81609,17.17318,16.86858,16.70152,0,5.48503,2.52E+18,0.02698101,4.702933,0.2298161,2.306192,19.67264,GALAXY,GALAXY
1.24E+18,195.4628207,27.41184997,19.51725,18.22493,17.65226,17.31537,17.36303,0,10.92501,2.52E+18,0.02022178,22.6196,0.06665157,7.731547,5.966214,GALAXY,GALAXY
1.24E+18,195.0651454,27.25667214,19.89314,18.32246,17.72622,17.39576,17.21173,0,8.619114,2.52E+18,0.02378349,12.25879,0.03253591,4.170225,6.54291,GALAXY,GALAXY
1.24E+18,195.553278,28.21483733,16.48244,15.48767,15.08739,14.86854,14.6811,12.53028,11.24461,2.52E+18,0.02730983,11.40253,0.2521591,5.24984,34.17828,GALAXY,GALAXY
1.24E+18,194.3945386,27.31032147,19.32509,17.80617,17.0658,16.72196,16.45985,12.60404,5.405207,2.52E+18,0.02484694,5.045677,0.2728131,2.362234,16.54902,GALAXY,GALAXY
1.24E+18,195.3910253,27.91110245,18.78778,17.34094,16.71564,16.40465,16.28751,13.16023,12.49292,2.52E+18,0.02189211,20.22074,0.09561722,7.101401,9.089374,GALAXY,GALAXY
1.24E+18,194.9644207,28.07348075,18.88881,17.09958,16.33121,15.96352,15.69099,13.35883,9.742753,2.52E+18,0.02498956,10.63796,0.2385859,4.428126,21.24967,GALAXY,GALAXY
1.24E+18,194.5758732,27.84848889,18.78283,17.3327,17.03409,16.85532,16.77478,13.6618,7.858618,2.52E+18,0.02528228,10.62613,0.2780572,4.571064,18.01226,GALAXY,GALAXY
1.24E+18,195.5250336,27.76511684,19.20013,17.65988,17.01362,16.67555,16.42629,13.69037,5.855915,2.52E+18,0.02414318,6.694459,0.5517145,3.347181,17.7047,GALAXY,GALAXY
1.24E+18,195.0176933,28.1551073,19.61666,17.77264,17.11055,16.75231,16.54024,13.72924,4.96942,2.52E+18,0.02191547,4.11988,0.5476924,2.266717,22.42627,GALAXY,GALAXY
1.24E+18,195.5390321,27.589357,19.18611,17.66507,16.98764,16.67262,16.45551,14.12122,5.084751,2.52E+18,0.02153221,3.004294,0.8469425,1.640498,20.07075,GALAXY,GALAXY
